asset,signal_time,entry_time,exit_time,side,signal_module,entry_cluster,entry_price,exit_price,take_profit_price,stop_loss_price,exit_reason,bars_held,gross_return,net_return,cost_return,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,net_r_multiple,mfe_r_multiple,mae_r_multiple,realized_r,cost,entry_context_age_bars,entry_macro_context_age_bars,entry_laggard_gap,signal_strength,entry_relay_score,trade_id,signal_timestamp,entry_timestamp,exit_timestamp,raw_entry_price,raw_exit_price,position_size,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,risk_distance,risk_distance_source,cost_component_reconciliation,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2024-01-04 10:00:00,2024-01-04 10:00:00,2024-01-04 22:00:00,long,,,2213.2,2277.1,,,position_exit,24,0.028872221218146032,0.02866652483101384,0.00020569638713219263,,,,4.209530544647952,4.180370816943993,5.5171859642295065,-0.05270147786724895,,,,,,,,247,2024-01-04 10:00:00,2024-01-04 10:00:00,2024-01-04 22:00:00,2213.2,2277.1,1.0,0.0001,0.00010569638713219262,0.0,0.00020569638713219263,1.0,1.0,0.0,2.0,4.180370816943993,4.209530544647952,0.02915972770395879,5.5171859642295065,-0.05270147786724895,21,1,15.179839966060664,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-01-06 06:30:00,2024-01-06 06:30:00,2024-01-06 18:30:00,long,,,2220.8500000000004,2248.75,,,position_exit,24,0.012562757502756927,0.01236012225814398,0.00020263524461294757,,,,2.222798073636307,2.1874109689636527,2.8004068920543514,-0.20714247281201728,,,,,,,,248,2024-01-06 06:30:00,2024-01-06 06:30:00,2024-01-06 18:30:00,2220.8500000000004,2248.75,1.0,0.0001,0.00010263524461294757,0.0,0.00020263524461294757,1.0,1.0,0.0,2.0,2.1874109689636527,2.222798073636307,0.03538710467265418,2.8004068920543514,-0.20714247281201728,24,1,12.551747426322729,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-01-09 00:30:00,2024-01-09 00:30:00,2024-01-09 12:30:00,short,,,2308.65,2265.9,,,position_exit,24,0.018501880492864275,0.018299667540429443,0.00020221295243483262,,,,3.204587205629557,3.169975414975631,5.475908663654696,-0.8358163121115755,,,,,,,,249,2024-01-09 00:30:00,2024-01-09 00:30:00,2024-01-09 12:30:00,2308.65,2265.9,1.0,0.0001,0.00010221295243483261,0.0,0.00020221295243483262,1.0,1.0,0.0,2.0,3.169975414975631,3.204587205629557,0.03461179065392597,5.475908663654696,-0.8358163121115755,24,9,13.340251725682576,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-01-12 00:00:00,2024-01-12 00:00:00,2024-01-12 12:00:00,long,,,2606.65,2675.15,,,position_exit,24,0.026278940402432616,0.02607476127347419,0.00020417912895842605,,,,2.765646986542046,2.744598596126076,2.991743674492925,-1.0416597409165553,,,,,,,,250,2024-01-12 00:00:00,2024-01-12 00:00:00,2024-01-12 12:00:00,2606.65,2675.15,1.0,0.0001,0.00010417912895842604,0.0,0.00020417912895842605,1.0,1.0,0.0,2.0,2.744598596126076,2.765646986542046,0.021048390415970293,2.991743674492925,-1.0416597409165553,24,2,24.768164676594235,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-01-18 18:00:00,2024-01-18 18:00:00,2024-01-19 06:00:00,short,,,2458.45,2461.1000000000004,,,position_exit,24,-0.0013872707051632016,-0.0015869427260265523,0.00019967202086335067,,,,-0.20961743732439045,-0.24851056855382755,2.709206501267507,-1.0836826005070246,,,,,,,,251,2024-01-18 18:00:00,2024-01-18 18:00:00,2024-01-19 06:00:00,2458.45,2461.1000000000004,1.0,0.0001,9.967202086335067e-05,0.0,0.00019967202086335067,1.0,1.0,0.0,2.0,-0.24851056855382755,-0.20961743732439045,0.0388931312294371,2.709206501267507,-1.0836826005070246,5,12,12.642078034279068,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-01-24 10:30:00,2024-01-24 10:30:00,2024-01-24 22:30:00,short,,,2255.55,2221.3500000000004,,,position_exit,24,0.015125382446079305,0.014922275967966359,0.00020310647811294658,,,,2.302858681389338,2.2724831673612225,3.9929684153914877,-0.04713453441438965,,,,,,,,252,2024-01-24 10:30:00,2024-01-24 10:30:00,2024-01-24 22:30:00,2255.55,2221.3500000000004,1.0,0.0001,0.00010310647811294657,0.0,0.00020310647811294658,1.0,1.0,0.0,2.0,2.2724831673612225,2.302858681389338,0.030375514028115495,3.9929684153914877,-0.04713453441438965,20,1,14.85110670332867,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-01-25 20:30:00,2024-01-25 20:30:00,2024-01-26 08:30:00,short,,,2221.35,2209.4,,,position_exit,24,0.005191751640939879,0.004990906910487869,0.00020084473045201,,,,0.9350825677153746,0.9003186235849213,2.007101913129691,-1.2363434786529968,,,,,,,,253,2024-01-25 20:30:00,2024-01-25 20:30:00,2024-01-26 08:30:00,2221.35,2209.4,1.0,0.0001,0.00010084473045201001,0.0,0.00020084473045201,1.0,1.0,0.0,2.0,0.9003186235849213,0.9350825677153746,0.0347639441304532,2.007101913129691,-1.2363434786529968,22,12,12.77962012402441,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-07 16:30:00,2024-02-07 16:30:00,2024-02-08 04:30:00,long,,,2396.8500000000004,2426.75,,,position_exit,24,0.012474706385464662,0.012272017154390413,0.00020268923107424897,,,,3.031416093195722,2.9828150921055796,4.820864054563796,-0.20277030723722062,,,,,,,,254,2024-02-07 16:30:00,2024-02-07 16:30:00,2024-02-08 04:30:00,2396.8500000000004,2426.75,1.0,0.0001,0.00010268923107424896,0.0,0.00020268923107424897,1.0,1.0,0.0,2.0,2.9828150921055796,3.031416093195722,0.04860100109014218,4.820864054563796,-0.20277030723722062,8,1,9.86337707552348,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-09 02:00:00,2024-02-09 02:00:00,2024-02-09 14:00:00,long,,,2436.25,2490.75,,,position_exit,24,0.02237044638276031,0.022165071371780698,0.00020537501097961375,,,,5.81278451140243,5.760816084738562,9.193798621704376,-0.34663393875335596,,,,,,,,255,2024-02-09 02:00:00,2024-02-09 02:00:00,2024-02-09 14:00:00,2436.25,2490.75,1.0,0.0001,0.00010537501097961374,0.0,0.00020537501097961375,1.0,1.0,0.0,2.0,5.760816084738562,5.81278451140243,0.05196842666386852,9.193798621704376,-0.34663393875335596,20,1,9.375885153336085,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-13 07:30:00,2024-02-13 07:30:00,2024-02-13 19:30:00,long,,,2649.25,2611.45,,,position_exit,24,-0.014268189110125284,-0.014466057824478296,0.00019786871435301112,,,,-3.0875658139263735,-3.1308448283842805,3.014052342166215,-4.774291582645373,,,,,,,,256,2024-02-13 07:30:00,2024-02-13 07:30:00,2024-02-13 19:30:00,2649.25,2611.45,1.0,0.0001,9.786871435301112e-05,0.0,0.00019786871435301112,1.0,1.0,0.0,2.0,-3.1308448283842805,-3.0875658139263735,0.04327901445790691,3.014052342166215,-4.774291582645373,9,13,12.242654012265717,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-14 09:00:00,2024-02-14 09:00:00,2024-02-14 21:00:00,long,,,2728.75,2760.35,,,position_exit,24,0.011580393953275259,0.011377901110215527,0.0002024928430597317,,,,2.173067696267523,2.135537579329611,2.9329537103104526,-0.2131806917224412,,,,,,,,257,2024-02-14 09:00:00,2024-02-14 09:00:00,2024-02-14 21:00:00,2728.75,2760.35,1.0,0.0001,0.00010249284305973169,0.0,0.0002024928430597317,1.0,1.0,0.0,2.0,2.135537579329611,2.173067696267523,0.03753011693791152,2.9329537103104526,-0.2131806917224412,11,1,14.541654663716324,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-15 09:00:00,2024-02-15 09:00:00,2024-02-15 21:00:00,short,,,2786.15,2828.5,,,position_exit,24,-0.015310256012206702,-0.015507119800362679,0.0001968637881559765,,,,-2.7433123945704434,-2.7794081670763817,0.5246949326096905,-5.357070484792843,,,,,,,,258,2024-02-15 09:00:00,2024-02-15 09:00:00,2024-02-15 21:00:00,2786.15,2828.5,1.0,0.0001,9.686378815597649e-05,0.0,0.0001968637881559765,1.0,1.0,0.0,2.0,-2.7794081670763817,-2.7433123945704434,0.03609577250593841,0.5246949326096905,-5.357070484792843,6,12,15.437541886887878,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-19 16:30:00,2024-02-19 16:30:00,2024-02-20 04:30:00,short,,,2897.45,2924.3500000000004,,,position_exit,24,-0.009682565272174815,-0.009880860443171824,0.00019829517099700933,,,,-1.870604993175011,-1.910902275238021,0.664099542186635,-6.0290502939877575,,,,,,,,259,2024-02-19 16:30:00,2024-02-19 16:30:00,2024-02-20 04:30:00,2897.45,2924.3500000000004,1.0,0.0001,9.829517099700932e-05,0.0,0.00019829517099700933,1.0,1.0,0.0,2.0,-1.910902275238021,-1.870604993175011,0.04029728206300986,0.664099542186635,-6.0290502939877575,1,11,14.380374316409098,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-26 05:30:00,2024-02-26 05:30:00,2024-02-26 17:30:00,short,,,3107.1,3149.45,,,position_exit,24,-0.0140215556049742,-0.014218785297599235,0.00019722969262503387,,,,-2.9753505037529804,-3.0190091179216267,4.872268180289714,-4.141603593771887,,,,,,,,260,2024-02-26 05:30:00,2024-02-26 05:30:00,2024-02-26 17:30:00,3107.1,3149.45,1.0,0.0001,9.722969262503387e-05,0.0,0.00019722969262503387,1.0,1.0,0.0,2.0,-3.0190091179216267,-2.9753505037529804,0.04365861416864654,4.872268180289714,-4.141603593771887,8,21,14.23361716429087,atr_48,0.0,fractional_return,R,False
ETHUSD,2024-02-27 07:00:00,2024-02-27 07:00:00,2024-02-27 19:00:00,short,,,3223.65,3244.3500000000004,,,position_exit,24,-0.006691480593358778,-0.006890366121949376,0.00019888552859059772,,,,-1.1090742557328805,-1.1436179004139748,1.0287065560420932,-3.4826003199341202,,,,,,,,261,2024-02-27 07:00:00,2024-02-27 07:00:00,2024-02-27 19:00:00,3223.65,3244.3500000000004,1.0,0.0001,9.888552859059771e-05,0.0,0.00019888552859059772,1.0,1.0,0.0,2.0,-1.1436179004139748,-1.1090742557328805,0.034543644681094235,1.0287065560420932,-3.4826003199341202,18,11,18.66421467543815,atr_48,0.0,fractional_return,R,False
