asset,signal_time,entry_time,exit_time,side,signal_module,entry_cluster,entry_price,exit_price,take_profit_price,stop_loss_price,exit_reason,bars_held,gross_return,net_return,cost_return,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,net_r_multiple,mfe_r_multiple,mae_r_multiple,realized_r,cost,entry_context_age_bars,entry_macro_context_age_bars,entry_laggard_gap,signal_strength,entry_relay_score,signal_timestamp,entry_timestamp,exit_timestamp,signal,raw_entry_price,raw_exit_price,target_price,position_size,cost_paid,trade_r,max_favorable_r,max_adverse_r,breakeven_activated,profit_lock_activated,effective_stop_price,r_trailing_activated,r_trailing_activation_r,r_trailing_distance_r,initial_risk_distance,effective_trailing_stop,intrabar_policy,stop_mode,effective_risk_per_trade,risk_guard_reason,total_cost,entry_cost,exit_cost,holding_cost,cost_component_reconciliation,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-03-28 18:00:00,2022-03-28 18:30:00,2022-03-28 19:00:00,long,,,3395.3,3415.544039506251,3486.3582677603235,3358.8766928958707,r_trailing_stop,2,0.0033347943032810555,0.0032229329616309975,0.00011186134165005806,,,,,0.5371554936051662,0.9348409770330772,-0.11668352870456848,,,,,,,,2022-03-28 18:00:00,2022-03-28 18:30:00,2022-03-28 19:00:00,1.0,3395.3,3415.544039506251,3486.3582677603235,0.5593067082502904,0.00011186134165005808,0.5371554936051662,0.9348409770330772,-0.11668352870456848,False,False,3415.544039506251,True,0.75,0.5,18.211920987498452,3415.544039506251,adverse_first,volatility_stop,0.006,,0.00011186134165005806,5.593067082502903e-05,5.593067082502903e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-28 19:00:00,2022-03-28 19:30:00,2022-03-28 21:30:00,long,,,3426.45,3389.334800303634,3519.237999240914,3389.334800303634,stop_loss,5,-0.006000000000000001,-0.00611078318407654,0.00011078318407653932,,,,,-1.0184638640127566,0.16300599348769157,-1.6650860161221475,,,,,,,,2022-03-28 19:00:00,2022-03-28 19:30:00,2022-03-28 21:30:00,1.0,3426.45,3389.334800303634,3519.237999240914,0.5539159203826963,0.00011078318407653928,-1.0184638640127566,0.16300599348769157,-1.6650860161221475,False,False,3389.334800303634,False,0.75,0.5,18.55787042594795,,adverse_first,volatility_stop,0.006,,0.00011078318407653932,5.539159203826966e-05,5.539159203826966e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-29 01:30:00,2022-03-29 02:00:00,2022-03-29 03:30:00,short,,,3390.75,3379.0995661537504,3289.757317229407,3431.1470731082372,r_trailing_stop,4,0.0017303878152312112,0.0016296651715610113,0.00010072264367019996,,,,,0.2716108619268352,0.5384053429248326,-0.29705122368266623,,,,,,,,2022-03-29 01:30:00,2022-03-29 02:00:00,2022-03-29 03:30:00,-1.0,3390.75,3379.0995661537504,3289.757317229407,0.5036132183510003,0.00010072264367020006,0.2716108619268352,0.5384053429248326,-0.29705122368266623,False,False,3379.0995661537504,True,0.75,0.5,20.199132307500516,3379.0995661537504,adverse_first,volatility_stop,0.006,,0.00010072264367019996,5.036132183509998e-05,5.036132183509998e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-29 04:00:00,2022-03-29 04:30:00,2022-03-29 09:00:00,short,,,3390.3,3430.407521243021,3290.031196892448,3430.407521243021,stop_loss,10,-0.006,-0.006101436335976707,0.00010143633597670728,,,,,-1.0169060559961178,0.09973191750652081,-1.3700672167458252,,,,,,,,2022-03-29 04:00:00,2022-03-29 04:30:00,2022-03-29 09:00:00,-1.0,3390.3,3430.407521243021,3290.031196892448,0.5071816798835375,0.0001014363359767075,-1.0169060559961178,0.09973191750652081,-1.3700672167458252,False,False,3430.407521243021,False,0.75,0.5,20.0543514564013,,adverse_first,volatility_stop,0.006,,0.00010143633597670728,5.071816798835364e-05,5.071816798835364e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-29 09:00:00,2022-03-29 09:30:00,2022-03-29 11:30:00,short,,,3428.4,3468.2121068358424,3328.8697329103948,3468.2121068358424,stop_loss,5,-0.006,-0.0061033374098226865,0.00010333740982268642,,,,,-1.0172229016371144,0.29890405069662573,-1.0825852592457514,,,,,,,,2022-03-29 09:00:00,2022-03-29 09:30:00,2022-03-29 11:30:00,-1.0,3428.4,3468.2121068358424,3328.8697329103948,0.5166870491134329,0.00010333740982268659,-1.0172229016371144,0.29890405069662573,-1.0825852592457514,False,False,3468.2121068358424,False,0.75,0.5,19.905473139890905,,adverse_first,volatility_stop,0.006,,0.00010333740982268642,5.166870491134321e-05,5.166870491134321e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-03-30 11:00:00,2022-03-30 11:30:00,2022-03-30 12:30:00,short,,,3413.25,3400.4569049882316,3307.1825002615806,3455.6769998953678,r_trailing_stop,3,0.0018091915586751588,0.0017126516192474078,9.653993942775095e-05,,,,,0.2854419365412346,0.5515355801189816,-0.15791830712808264,,,,,,,,2022-03-30 11:00:00,2022-03-30 11:30:00,2022-03-30 12:30:00,-1.0,3413.25,3400.4569049882316,3307.1825002615806,0.4826996971387547,9.653993942775094e-05,0.2854419365412346,0.5515355801189816,-0.15791830712808264,False,False,3400.4569049882316,True,0.75,0.5,21.213809976462194,3400.4569049882316,adverse_first,volatility_stop,0.006,,9.653993942775095e-05,4.826996971387548e-05,4.826996971387548e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-04-03 03:00:00,2022-04-03 03:30:00,2022-04-03 06:00:00,short,,,3453.15,3499.3997898678763,3337.52552533031,3499.3997898678763,stop_loss,6,-0.006,-0.006089595650311877,8.959565031187687e-05,,,,,-1.0149326083853127,0.028108235814993953,-1.1362213785213213,,,,,,,,2022-04-03 03:00:00,2022-04-03 03:30:00,2022-04-03 06:00:00,-1.0,3453.15,3499.3997898678763,3337.52552533031,0.447978251559383,8.95956503118766e-05,-1.0149326083853127,0.028108235814993953,-1.1362213785213213,False,False,3499.3997898678763,False,0.75,0.5,23.125564187867173,,adverse_first,volatility_stop,0.006,,8.959565031187687e-05,4.4797825155938435e-05,4.4797825155938435e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-04-03 07:00:00,2022-04-03 07:30:00,2022-04-03 19:00:00,short,,,3484.2,3500.15,3373.3127586965447,3528.554896521382,max_holding_close,24,-0.0021575971878069014,-0.002251860512217645,9.426332441074374e-05,,,,,-0.3753100853696075,0.27618145820934625,-0.8341807309180255,,,,,,,,2022-04-03 07:00:00,2022-04-03 07:30:00,2022-04-03 19:00:00,-1.0,3484.2,3500.15,3373.3127586965447,0.47131662205371827,9.426332441074366e-05,-0.3753100853696075,0.27618145820934625,-0.8341807309180255,False,False,3528.554896521382,False,0.75,0.5,22.178085220653085,,adverse_first,volatility_stop,0.006,,9.426332441074374e-05,4.713166220537187e-05,4.713166220537187e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-04-04 01:00:00,2022-04-04 01:30:00,2022-04-04 10:00:00,short,,,3487.8500000000004,3474.0311570712943,3377.536845112476,3531.97526195501,r_trailing_stop,18,0.0018790383081866819,0.00178418516024917,9.485314793751184e-05,,,,,0.29736419337486164,0.606228695645477,-0.5450392572064788,,,,,,,,2022-04-04 01:00:00,2022-04-04 01:30:00,2022-04-04 10:00:00,-1.0,3487.8500000000004,3474.0311570712943,3377.536845112476,0.47426573968755864,9.485314793751174e-05,0.29736419337486164,0.606228695645477,-0.5450392572064788,False,False,3474.0311570712943,True,0.75,0.5,22.062314142588303,3474.0311570712943,adverse_first,volatility_stop,0.006,,9.485314793751184e-05,4.742657396875592e-05,4.742657396875592e-05,0.0,0.0,fractional_return,R,False
ETHUSD,2022-04-04 15:00:00,2022-04-04 15:30:00,2022-04-04 16:30:00,long,,,3433.8500000000004,3442.3231635728325,3539.1198985501196,3391.7420405799526,r_trailing_stop,3,0.001207348495087341,0.0011094900365737194,9.785845851362153e-05,,,,,0.1849150060956199,0.527216239061689,-0.3882876355251747,,,,,,,,2022-04-04 15:00:00,2022-04-04 15:30:00,2022-04-04 16:30:00,1.0,3433.8500000000004,3442.3231635728325,3539.1198985501196,0.489292292568108,9.785845851362161e-05,0.1849150060956199,0.527216239061689,-0.3882876355251747,False,False,3442.3231635728325,True,0.75,0.5,21.053672854335964,3442.3231635728325,adverse_first,volatility_stop,0.006,,9.785845851362153e-05,4.8929229256810766e-05,4.8929229256810766e-05,0.0,0.0,fractional_return,R,False
