asset,signal_timestamp,entry_timestamp,exit_timestamp,side,signal,entry_price,exit_price,raw_entry_price,raw_exit_price,take_profit_price,stop_loss_price,target_price,position_size,gross_return,cost_paid,net_return,trade_r,bars_held,exit_reason,max_favorable_r,max_adverse_r,breakeven_activated,profit_lock_activated,effective_stop_price,r_trailing_activated,r_trailing_activation_r,r_trailing_distance_r,initial_risk_distance,effective_trailing_stop,intrabar_policy,stop_mode,effective_risk_per_trade,risk_guard_reason,entry_risk_modifier,entry_risk_modifier_rules,cost_return,net_r_multiple,mfe_r_multiple,mae_r_multiple,total_cost,entry_cost,exit_cost,holding_cost,cost_component_reconciliation,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-08-29 23:00:00,2022-08-29 23:30:00,2022-08-30 11:00:00,long,1.0,1544.15,1581.75,1544.15,1581.75,2185.7363753575833,1479.9913624642418,2185.7363753575833,0.24067686897798915,0.005860473576771916,0.0002527107124268886,0.0056077628643450275,0.5607762864345027,24,max_holding_close,0.9577821842889219,-0.3148445910925358,False,False,1479.9913624642418,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.0002527107124268889,0.5607762864345027,0.9577821842889219,-0.3148445910925358,0.0002527107124268889,0.00012635535621344446,0.00012635535621344446,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-06 01:00:00,2022-09-06 01:30:00,2022-09-06 13:00:00,long,1.0,1659.15,1663.0,1659.15,1663.0,2177.235913283285,1607.3414086716716,2177.235913283285,0.3202461131369908,0.0007431199925126288,0.00033625841879384035,0.00040686157371878847,0.04068615737187885,24,max_holding_close,0.5240443583563424,-0.6639825387645789,False,False,1607.3414086716716,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00033625841879384035,0.04068615737187885,0.5240443583563424,-0.6639825387645789,0.00033625841879384035,0.00016812920939692018,0.00016812920939692018,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-06 14:30:00,2022-09-06 15:00:00,2022-09-06 17:00:00,long,1.0,1666.25,1602.9739169077948,1666.25,1602.9739169077948,2299.0108309220523,1602.9739169077948,2299.0108309220523,0.26333014285539114,-0.010000000000000002,0.0002764966499981607,-0.010276496649998162,-1.0276496649998161,5,stop_loss,0.13196139191852913,-1.1773800835844943,False,False,1602.9739169077948,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00027649664999816054,-1.0276496649998161,0.13196139191852913,-1.1773800835844943,0.00027649664999816054,0.00013824832499908027,0.00013824832499908027,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-07 20:00:00,2022-09-07 20:30:00,2022-09-08 08:00:00,long,1.0,1637.65,1616.55,1637.65,1616.55,2371.8935090150685,1564.2256490984932,2371.8935090150685,0.223039084430829,-0.0028737060308921506,0.00023419103865237044,-0.003107897069544521,-0.31078970695445207,24,max_holding_close,0.2628555753375257,-0.5774650981508362,False,False,1564.2256490984932,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00023419103865237028,-0.31078970695445207,0.2628555753375257,-0.5774650981508362,0.00023419103865237028,0.00011709551932618514,0.00011709551932618514,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-08 10:00:00,2022-09-08 10:30:00,2022-09-08 22:00:00,long,1.0,1633.65,1631.15,1633.65,1631.15,2330.5923816818745,1563.9557618318127,2330.5923816818745,0.23440244745306568,-0.0003587097105455076,0.00024612256982571893,-0.0006048322803712265,-0.060483228037122645,24,max_holding_close,0.40175487581096553,-0.502193594763707,False,False,1563.9557618318127,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.0002461225698257189,-0.060483228037122645,0.40175487581096553,-0.502193594763707,0.0002461225698257189,0.00012306128491285944,0.00012306128491285944,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-09 05:00:00,2022-09-09 05:30:00,2022-09-09 17:00:00,long,1.0,1706.75,1712.45,1706.75,1712.45,2424.422261898406,1634.9827738101594,2424.422261898406,0.23781746775126286,0.0007942344023332259,0.00024970834113882597,0.0005445260611943998,0.054452606119439986,24,max_holding_close,0.5462103258151173,-0.30097303667363445,False,False,1634.9827738101594,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.000249708341138826,0.054452606119439986,0.5462103258151173,-0.30097303667363445,0.000249708341138826,0.000124854170569413,0.000124854170569413,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-09 19:30:00,2022-09-09 20:00:00,2022-09-10 08:00:00,long,1.0,1721.25,1720.0500000000002,1721.25,1720.0500000000002,2430.9854900906794,1650.276450990932,2430.9854900906794,0.2425199280622256,-0.0001690770740302787,0.00025464592446533687,-0.0004237229984956156,-0.042372299849561555,24,max_holding_close,0.3247688796998861,-0.19655209856023578,False,False,1650.276450990932,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.0002546459244653369,-0.042372299849561555,0.3247688796998861,-0.19655209856023578,0.0002546459244653369,0.00012732296223266846,0.00012732296223266846,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-14 07:30:00,2022-09-14 08:00:00,2022-09-14 19:30:00,long,1.0,1611.85,1600.05,1611.85,1600.05,2409.1653481888584,1532.118465181114,2409.1653481888584,0.20215966037295,-0.0014799664934086985,0.0002122676433915975,-0.001692234136800296,-0.1692234136800296,24,max_holding_close,0.015050506712631398,-0.6521886242140025,False,False,1532.118465181114,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00021226764339159752,-0.1692234136800296,0.015050506712631398,-0.6521886242140025,0.00021226764339159752,0.00010613382169579876,0.00010613382169579876,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-14 19:30:00,2022-09-14 20:00:00,2022-09-15 07:30:00,long,1.0,1600.25,1637.25,1600.25,1637.25,2398.0220191935077,1520.4727980806492,2398.0220191935077,0.20058988802562192,0.004637916486141545,0.000210619382426903,0.004427297103714642,0.4427297103714642,24,max_holding_close,0.6693641631350243,-0.3165064629056056,False,False,1520.4727980806492,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00021061938242690308,0.4427297103714642,0.6693641631350243,-0.3165064629056056,0.00021061938242690308,0.00010530969121345154,0.00010530969121345154,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-16 11:30:00,2022-09-16 12:00:00,2022-09-16 23:30:00,long,1.0,1478.65,1433.85,1478.65,1433.85,2252.5454295916484,1401.2604570408353,2252.5454295916484,0.19106586542063192,-0.005788895797412741,0.0002006191586916635,-0.005989514956104405,-0.5989514956104405,24,max_holding_close,0.0025843284809854684,-0.9374651564783337,False,False,1401.2604570408353,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00020061915869166395,-0.5989514956104405,0.0025843284809854684,-0.9374651564783337,0.00020061915869166395,0.00010030957934583197,0.00010030957934583197,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-09-17 00:00:00,2022-09-17 00:30:00,2022-09-17 12:30:00,long,1.0,1448.8,1424.85,1448.8,1424.85,2227.3354573652146,1370.9464542634785,2227.3354573652146,0.18609300145469942,-0.0030762889183048466,0.0001953976515274344,-0.003271686569832281,-0.3271686569832281,24,max_holding_close,0.09761918905685678,-0.5028672699441922,False,False,1370.9464542634785,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00019539765152743437,-0.3271686569832281,0.09761918905685678,-0.5028672699441922,0.00019539765152743437,9.769882576371718e-05,9.769882576371718e-05,0.0,0.0,,,,,fractional_return,R,False
