trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,cost_return,gross_r_multiple,net_r_multiple,mfe_r_multiple,mae_r_multiple,cost_component_reconciliation,gross_pnl_currency,net_pnl_currency,cost_currency,return_unit,r_multiple_unit,currency_pnl_available,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
15,ETHUSD,long,2022-04-25 11:30:00,2022-04-25 11:30:00,2022-04-25 23:30:00,2862.9,3007.3,2862.9,3007.3,24,1.0,0.05043836669111723,0.05022807647280736,0.0001,0.00011029021830987204,0.0,0.00021029021830987205,1.0,1.0,0.0,2.0,9.157353087711197,9.193808703969639,0.03645561625844137,10.397153472009961,-1.282931062222915,17,4,position_exit,15.70622194234388,atr_48,0.00021029021830987205,9.193808703969639,9.157353087711197,10.397153472009961,-1.282931062222915,0.0,,,,fractional_return,R,False,True,True,False,True,False,True,False,True,False,False,1.2398003842987642,0.8807557868952869,0.8807557868952869,1.282931062222915,0.5702452063560486,True
16,ETHUSD,short,2022-04-28 01:00:00,2022-04-28 01:00:00,2022-04-28 13:00:00,2894.95,2908.2,2894.95,2908.2,24,1.0,-0.0048019900273083005,-0.0050008050402198245,0.0001,9.881501291152403e-05,0.0,0.00019881501291152404,1.0,1.0,0.0,2.0,-0.6491183300867364,-0.621941144917254,0.027177185169482334,1.1382696425844083,-2.452560363918983,1,16,position_exit,21.304266662986,atr_48,0.00019881501291152404,-0.621941144917254,-0.6491183300867364,1.1382696425844083,-2.452560363918983,0.0,,,,fractional_return,R,False,True,True,True,True,True,False,False,False,False,True,1.7873879726711448,-0.5702676288659794,-0.5702676288659794,2.452560363918983,0.38370442390441895,True
17,ETHUSD,long,2022-04-29 16:30:00,2022-04-29 16:30:00,2022-04-30 04:30:00,2814.9,2821.8,2814.9,2821.8,24,1.0,0.0024512416071620358,0.002250988722156455,0.0001,0.00010025288500558069,0.0,0.0002002528850055807,1.0,1.0,0.0,2.0,0.3037083186988809,0.33068972466905194,0.026981405970171075,1.1094879892881857,-1.8499454162645228,19,6,position_exit,20.865480495063707,atr_48,0.0002002528850055807,0.33068972466905194,0.3037083186988809,1.1094879892881857,-1.8499454162645228,0.0,,,,fractional_return,R,False,True,True,False,True,False,False,False,False,False,False,0.8057796705893048,0.273737365010802,0.273737365010802,1.8499454162645228,0.5703443288803101,True
18,ETHUSD,short,2022-05-01 22:30:00,2022-05-01 22:30:00,2022-05-02 10:30:00,2807.55,2806.0,2807.55,2806.0,24,1.0,0.00011064857811238227,-8.901320350496178e-05,0.0001,9.966178161734404e-05,0.0,0.00019966178161734405,1.0,1.0,0.0,2.0,0.05512159737256959,0.0864333234807405,0.03131172610817091,0.2871816876940446,-3.7389382834728684,24,15,position_exit,17.93289830334432,atr_48,0.00019966178161734405,0.0864333234807405,0.05512159737256959,0.2871816876940446,-3.7389382834728684,0.0,,,,fractional_return,R,False,True,False,False,False,False,False,False,False,False,False,0.23206009032147504,0.19193980582527465,0.19193980582527465,3.7389382834728684,0.4106268882751465,True
19,ETHUSD,long,2022-05-05 14:30:00,2022-05-05 14:30:00,2022-05-06 02:30:00,2830.2,2745.8,2830.2,2745.8,24,1.0,-0.029821214048477374,-0.030015609298813195,0.0001,9.43952503358215e-05,0.0,0.0001943952503358215,1.0,1.0,0.0,2.0,-5.157517032320647,-5.123157881994531,0.03435915032611608,0.0,-8.598285710717139,1,9,position_exit,16.474214135899576,atr_48,0.0001943952503358215,-5.123157881994531,-5.157517032320647,0.0,-8.598285710717139,0.0,,,,fractional_return,R,False,False,False,False,False,False,False,False,False,False,False,5.157517032320647,,,8.598285710717139,0.5857795476913452,True
20,ETHUSD,short,2022-05-07 15:00:00,2022-05-07 15:00:00,2022-05-08 03:00:00,2694.95,2538.25,2694.95,2538.25,24,1.0,0.06077262078940171,0.06056093258362294,0.0001,0.00011168820577877056,0.0,0.00021168820577877057,1.0,1.0,0.0,2.0,8.967952252627336,8.99890515556158,0.030952902934244683,10.156071325852372,-0.2900093875914976,24,6,position_exit,17.413229419709435,atr_48,0.00021168820577877057,8.99890515556158,8.967952252627336,10.156071325852372,-0.2900093875914976,0.0,,,,fractional_return,R,False,True,True,False,True,False,True,False,True,False,False,1.1881190732250353,0.8830139100932989,0.8830139100932989,0.2900093875914976,0.38507428765296936,True
21,ETHUSD,short,2022-05-08 22:00:00,2022-05-08 22:00:00,2022-05-09 10:00:00,2532.3,2420.5,2532.3,2420.5,24,1.0,0.04519292221625992,0.044984922622411494,0.0001,0.00010799959384842914,0.0,0.00020799959384842914,1.0,1.0,0.0,2.0,5.759571596509563,5.785781497198931,0.026209900689368213,6.21790381832246,-0.5537375851523024,24,1,position_exit,19.32323231600189,atr_48,0.00020799959384842914,5.785781497198931,5.759571596509563,6.21790381832246,-0.5537375851523024,0.0,,,,fractional_return,R,False,True,True,False,True,False,True,False,True,False,False,0.45833222181289734,0.9262883062838126,0.9262883062838126,0.5537375851523024,0.41466012597084045,True
22,ETHUSD,long,2022-05-12 21:30:00,2022-05-12 21:30:00,2022-05-13 09:30:00,1908.9,2073.9,1908.9,2073.9,24,1.0,0.08643721515008651,0.08621969761904791,0.0001,0.00011751753103860238,0.0,0.00021751753103860239,1.0,1.0,0.0,2.0,2.9121867887790174,2.9189406868118115,0.006753898032794022,4.051135862302454,-0.2839333213535158,16,2,position_exit,56.52735622395255,atr_48,0.00021751753103860239,2.9189406868118115,2.9121867887790174,4.051135862302454,-0.2839333213535158,0.0,,,,fractional_return,R,False,True,True,False,True,False,True,False,True,False,False,1.1389490735234364,0.7188568558951964,0.7188568558951964,0.2839333213535158,0.695315420627594,True
23,ETHUSD,short,2022-05-13 23:30:00,2022-05-13 23:30:00,2022-05-14 11:30:00,2005.65,1981.8,2005.65,1981.8,24,1.0,0.011065712622663426,0.010863004675235377,0.0001,0.00010270794742804909,0.0,0.0002027079474280491,1.0,1.0,0.0,2.0,0.594549250110309,0.6047199551675995,0.010170705057290475,0.9774404306797039,-1.5377889006672854,24,4,position_exit,39.43974363040501,atr_48,0.0002027079474280491,0.6047199551675995,0.594549250110309,0.9774404306797039,-1.5377889006672854,0.0,,,,fractional_return,R,False,True,True,False,False,False,False,False,False,False,False,0.38289118056939486,0.6082715953307399,0.6082715953307399,1.5377889006672854,0.3146328330039978,True
24,ETHUSD,long,2022-05-18 20:00:00,2022-05-18 20:00:00,2022-05-19 08:00:00,1953.3,1949.7,1953.3,1949.7,24,1.0,-0.0018430348640759986,-0.002042702346797598,0.0001,9.96674827215994e-05,0.0,0.0001996674827215994,1.0,1.0,0.0,2.0,-0.2056784211888051,-0.18554382389872767,0.02013459729007744,0.9483350999268589,-2.7058474318565136,2,12,position_exit,19.402424313324694,atr_48,0.0001996674827215994,-0.18554382389872767,-0.2056784211888051,0.9483350999268589,-2.7058474318565136,0.0,,,,fractional_return,R,False,True,True,True,False,False,False,False,False,False,True,1.1540135211156641,-0.2168836956521679,-0.2168836956521679,2.7058474318565136,0.6337908506393433,True
