fold,train_rows_raw,train_rows,train_rows_dropped_missing,test_rows,test_pred_rows,test_rows_missing_features,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
94,40320,692,39628,336,7,329,7,0,0.7142857142857143,
95,40656,699,39957,336,1,335,1,0,0.0,
96,40992,700,40292,336,5,331,5,0,0.4,
97,41328,705,40623,336,5,331,5,0,0.6,
98,41664,709,40955,336,5,331,5,0,0.0,
99,42000,715,41285,336,11,325,11,0,0.36363636363636365,
100,42336,722,41614,336,1,335,1,0,1.0,
101,42672,727,41945,336,5,331,5,0,0.2,
102,43008,732,42276,336,5,331,5,0,0.6,
103,43344,737,42607,336,5,331,5,0,0.2,
104,43680,742,42938,336,5,331,5,0,0.6,
105,44016,746,43270,336,4,332,4,0,0.75,
106,44352,751,43601,336,11,325,11,0,0.7272727272727273,
107,44688,762,43926,336,3,333,3,0,0.3333333333333333,
108,45024,763,44261,336,3,333,3,0,0.6666666666666666,
109,45360,768,44592,336,6,330,6,0,0.6666666666666666,
110,45696,774,44922,336,6,330,6,0,0.5,
111,46032,780,45252,336,8,328,8,0,0.875,
112,46368,787,45581,336,5,331,5,0,0.6,
113,46704,793,45911,336,2,334,2,0,0.5,
114,47040,795,46245,336,7,329,7,0,0.42857142857142855,
115,47376,800,46576,336,5,331,5,0,0.6,
116,47712,807,46905,336,2,334,2,0,0.0,
117,48048,809,47239,336,4,332,4,0,0.25,
118,48384,813,47571,336,4,332,4,0,0.25,
119,48720,817,47903,336,5,331,5,0,0.8,
120,49056,822,48234,336,5,331,5,0,0.6,
121,49392,824,48568,336,7,329,7,0,0.2857142857142857,
122,49728,834,48894,336,7,329,7,0,0.7142857142857143,
123,50064,841,49223,336,4,332,4,0,0.75,
124,50400,845,49555,336,3,333,3,0,0.3333333333333333,
125,50736,848,49888,336,3,333,3,0,0.6666666666666666,
126,51072,851,50221,336,4,332,4,0,0.5,
127,51408,855,50553,336,3,333,3,0,0.3333333333333333,
128,51744,858,50886,336,11,325,11,0,0.6363636363636364,
129,52080,869,51211,336,5,331,5,0,0.8,
130,52416,874,51542,336,4,332,4,0,1.0,
131,52752,877,51875,336,2,334,2,0,0.5,
132,53088,880,52208,336,7,329,7,0,0.42857142857142855,
133,53424,887,52537,336,7,329,7,0,0.42857142857142855,
134,53760,894,52866,336,5,331,5,0,0.6,
135,54096,899,53197,336,2,334,2,0,0.5,
136,54432,901,53531,336,12,324,12,0,0.8333333333333334,
137,54768,913,53855,336,10,326,10,0,0.7,
138,55104,923,54181,336,10,326,10,0,0.8,
139,55440,933,54507,336,3,333,3,0,0.3333333333333333,
140,55776,936,54840,336,6,330,6,0,0.5,
141,56112,942,55170,336,2,334,2,0,0.5,
142,56448,944,55504,336,6,330,6,0,1.0,
143,56784,949,55835,336,1,335,1,0,1.0,
144,57120,951,56169,336,2,334,2,0,0.0,
145,57456,953,56503,336,6,330,6,0,0.6666666666666666,
146,57792,959,56833,336,6,330,6,0,0.3333333333333333,
147,58128,965,57163,34,3,31,1,0,1.0,
