asset,signal_timestamp,entry_timestamp,exit_timestamp,side,signal,entry_price,exit_price,raw_entry_price,raw_exit_price,take_profit_price,stop_loss_price,target_price,position_size,gross_return,cost_paid,net_return,trade_r,bars_held,exit_reason,max_favorable_r,max_adverse_r,breakeven_activated,profit_lock_activated,effective_stop_price,r_trailing_activated,r_trailing_activation_r,r_trailing_distance_r,initial_risk_distance,effective_trailing_stop,intrabar_policy,stop_mode,effective_risk_per_trade,risk_guard_reason,cost_return,net_r_multiple,mfe_r_multiple,mae_r_multiple,total_cost,entry_cost,exit_cost,holding_cost,cost_component_reconciliation,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-04-04 17:30:00,2022-04-04 18:00:00,2022-04-04 20:00:00,long,0.5,3438.3,3489.37580616758,3438.3,3489.37580616758,4510.688158387039,3352.5089473290373,4510.688158387039,0.08015521183046934,0.0011907024002484779,8.41629724219928e-05,0.001106539427826485,0.5532697139132425,5,r_trailing_stop,0.8310889979804633,-0.33861339959793413,False,False,3489.37580616758,True,1.0,0.5,21.448387664839647,3489.37580616758,adverse_first,volatility_stop,0.002,,8.41629724219928e-05,0.5532697139132425,0.8310889979804633,-0.33861339959793413,8.41629724219928e-05,4.20814862109964e-05,4.20814862109964e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-04 23:30:00,2022-04-05 00:00:00,2022-04-05 11:30:00,short,-0.5,3520.1,3523.55,3520.1,3523.55,2403.9431925396434,3609.3925445968284,2403.9431925396434,0.07884420845869872,-7.727408857206803e-05,8.278641888163365e-05,-0.00016006050745370168,-0.08003025372685084,24,max_holding_close,0.20830406484642325,-0.1842259068131041,False,False,3609.3925445968284,False,1.0,0.5,22.323770301897643,,adverse_first,volatility_stop,0.002,,8.278641888163365e-05,-0.08003025372685084,0.20830406484642325,-0.1842259068131041,8.278641888163365e-05,4.1393209440816823e-05,4.1393209440816823e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-07 11:30:00,2022-04-07 12:00:00,2022-04-07 13:30:00,short,-0.5,3251.2,3216.755763501971,3251.2,3216.755763501971,1980.6626963138579,3352.8429842948913,1980.6626963138579,0.06397293472941462,0.0006777494135374361,6.717158146588535e-05,0.0006105778320715507,0.30528891603577535,4,r_trailing_stop,0.49831279897342895,-0.16676015681342185,False,False,3216.755763501971,True,1.0,0.5,25.41152700394238,3216.755763501971,adverse_first,volatility_stop,0.002,,6.717158146588541e-05,0.30528891603577535,0.49831279897342895,-0.16676015681342185,6.717158146588541e-05,3.3585790732942704e-05,3.3585790732942704e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-07 16:30:00,2022-04-07 17:00:00,2022-04-08 04:30:00,short,-0.5,3221.15,3258.65,3221.15,3258.65,1907.3621322355234,3326.2530294211583,1907.3621322355234,0.0612950933524958,-0.000713585520922216,6.435984802012058e-05,-0.0007779453689423366,-0.3889726844711683,24,max_holding_close,0.21264848523481897,-0.5232960486762904,False,False,3326.2530294211583,False,1.0,0.5,26.276574464885268,,adverse_first,volatility_stop,0.002,,6.435984802012054e-05,-0.3889726844711683,0.21264848523481897,-0.5232960486762904,6.435984802012054e-05,3.217992401006027e-05,3.217992401006027e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-08 07:30:00,2022-04-08 08:00:00,2022-04-08 12:00:00,short,-0.5,3286.25,3266.78306370467,3286.25,3266.78306370467,2132.9612002545036,3378.5131039796397,2132.9612002545036,0.07123649342482989,0.00042198745664628613,7.479831809607139e-05,0.00034718913855021473,0.17359456927510736,9,r_trailing_stop,0.34683420153587774,-0.29209942910599507,False,False,3266.78306370467,True,1.0,0.5,23.066127409340197,3266.78306370467,adverse_first,volatility_stop,0.002,,7.47983180960714e-05,0.17359456927510736,0.34683420153587774,-0.29209942910599507,7.47983180960714e-05,3.73991590480357e-05,3.73991590480357e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-08 12:30:00,2022-04-08 13:00:00,2022-04-08 14:00:00,short,-0.5,3237.1,3227.3,3237.1,3227.3,2102.6334246507845,3327.8573260279372,2102.6334246507845,0.07133528810673741,0.00021596052746161547,7.490205251207427e-05,0.00014105847494954118,0.07052923747477059,3,r_trailing_stop,0.2776635353078014,-0.5751601802804529,False,False,3223.245016334885,True,1.0,0.5,22.690032669769405,3223.245016334885,adverse_first,volatility_stop,0.002,,7.490205251207429e-05,0.07052923747477059,0.2776635353078014,-0.5751601802804529,7.490205251207429e-05,3.7451026256037144e-05,3.7451026256037144e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-08 14:00:00,2022-04-08 14:30:00,2022-04-08 17:30:00,short,-0.5,3284.4,3246.432954969046,3284.4,3246.432954969046,2106.068595476076,3378.666512361914,2106.068595476076,0.069683282381135,0.0008055256120050062,7.316744650019175e-05,0.0007323581655048145,0.36617908275240724,7,r_trailing_stop,0.5855738015221451,-0.2461107281759757,False,False,3246.432954969046,True,1.0,0.5,23.565909938092002,3246.432954969046,adverse_first,volatility_stop,0.002,,7.31674465001917e-05,0.36617908275240724,0.5855738015221451,-0.2461107281759757,7.31674465001917e-05,3.658372325009585e-05,3.658372325009585e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-11 18:30:00,2022-04-11 19:00:00,2022-04-11 19:30:00,short,-0.5,3037.0,3006.129903663814,3037.0,3006.129903663814,2009.0434739487246,3119.236522084102,2009.0434739487246,0.07386012742353347,0.0007507636644608076,7.755313379471014e-05,0.0006732105306660974,0.3366052653330487,2,r_trailing_stop,0.6408344937800791,-0.03769614669294485,False,False,3006.129903663814,True,1.0,0.5,20.55980732762745,3006.129903663814,adverse_first,volatility_stop,0.002,,7.755313379471018e-05,0.3366052653330487,0.6408344937800791,-0.03769614669294485,7.755313379471018e-05,3.877656689735509e-05,3.877656689735509e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-12 07:00:00,2022-04-12 07:30:00,2022-04-12 19:00:00,short,-0.5,3019.9,2976.4,3019.9,2976.4,1933.1125422521495,3106.842996619828,1933.1125422521495,0.0694685050529139,0.0010006556408496184,7.294193030555959e-05,0.0009277137105440589,0.4638568552720294,24,max_holding_close,0.5382837240432431,-0.7579678934711459,False,False,2983.967694429483,True,1.0,0.5,21.73538885896562,2983.967694429483,adverse_first,volatility_stop,0.002,,7.294193030555956e-05,0.4638568552720294,0.5382837240432431,-0.7579678934711459,7.294193030555956e-05,3.647096515277978e-05,3.647096515277978e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-12 19:00:00,2022-04-12 19:30:00,2022-04-12 22:00:00,long,0.5,2976.45,3002.5784649396464,2976.45,3002.5784649396464,4083.6220852085853,2887.876233183313,4083.6220852085853,0.06720838701960347,0.0005899820201555169,7.056880637058363e-05,0.0005194132137849333,0.2597066068924666,6,r_trailing_stop,0.4199889124845491,-0.09878771463010155,False,False,3002.5784649396464,True,1.0,0.5,22.14307012070707,3002.5784649396464,adverse_first,volatility_stop,0.002,,7.05688063705836e-05,0.2597066068924666,0.4199889124845491,-0.09878771463010155,7.05688063705836e-05,3.52844031852918e-05,3.52844031852918e-05,0.0,0.0,,,,,fractional_return,R,False
